   DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2017 JAN  7   05 50 44.0 38.5753 24.5365    8         2.6
 2017 JAN  7   06 01 54.0 36.5663 23.1523   19         1.8
 2017 JAN  7   07 34 19.0 38.3793 20.4508   11         1.7
 2017 JAN  7   07 56 18.0 37.4503 20.5958    6         2.6
 2017 JAN  7   07 59 04.0 41.3542 19.9553   10         2.9
 2017 JAN  7   09 53 39.0 39.1467 21.0637    8         1.6
 2017 JAN  7   12 16 29.0 37.5472 23.5003   12         1.8
 2017 JAN  7   12 48 08.0 37.5815 23.5667    9         2.8
 2017 JAN  7   13 21 15.0 38.2172 20.5022   12         2.1
 2017 JAN  7   13 28 55.0 38.3333 22.3205    7         1.9
 2017 JAN  7   14 33 40.0 41.5493 23.4577    5         1.6
 2017 JAN  7   15 01 09.0 38.3623 21.9907    5         3.3
 2017 JAN  7   16 33 42.0 37.5445 23.4988    6         1.7
 2017 JAN  7   16 46 03.0 37.3733 22.7268   49         2.1
 2017 JAN  7   16 50 00.0 37.5665 23.4817    9         1.7
 2017 JAN  7   16 56 26.0 41.5825 23.4698   12         1.8
 2017 JAN  7   18 36 10.0 38.4670 23.4768   11         1.7
 2017 JAN  7   19 09 06.0 39.3693 26.1022    6         2.4
 2017 JAN  7   20 05 22.0 37.5673 23.4775    8         2.2
 2017 JAN  7   21 06 30.0 35.9255 22.4795   10         2.5
 2017 JAN  7   22 22 49.0 37.3578 20.8800   15         2.1
 2017 JAN  7   23 45 13.0 36.4477 22.7483    2         2.4
 2017 JAN  8   00 28 10.0 38.4575 20.5700    5         1.9
 2017 JAN  8   02 08 47.0 38.2232 20.4342    8         1.5
 2017 JAN  8   04 04 24.0 40.4487 21.5240   26         1.1
 2017 JAN  8   04 42 30.0 38.3262 21.7727   15         2.3
 2017 JAN  8   04 53 53.0 38.3987 21.9232    9         2.2
 2017 JAN  8   05 23 05.0 34.6548 23.3793   24         3.4
 2017 JAN  8   06 05 54.0 39.5417 20.8108   28         2.0
 2017 JAN  8   07 13 38.0 38.0597 23.7845   11         2.0
 2017 JAN  8   07 28 38.0 36.4725 22.7712   20         2.2
 2017 JAN  8   07 42 31.0 37.8208 21.1743   22         2.1
 2017 JAN  8   10 54 27.0 38.8790 21.1253   18         2.3
 2017 JAN  8   13 44 59.0 38.5715 25.2380   10         2.5
 2017 JAN  8   13 49 40.0 38.3215 23.3237    8         1.9
 2017 JAN  8   14 47 37.0 38.5582 23.7563   15         2.2
 2017 JAN  8   14 50 43.0 37.9050 22.6088   14         2.1
 2017 JAN  8   17 48 50.0 38.3083 22.1522   13         1.9
 2017 JAN  8   18 46 09.0 37.8235 21.9313   15         2.4
 2017 JAN  8   23 31 52.0 38.1492 20.4168   14         3.0
 2017 JAN  9   00 10 24.0 38.3712 21.9743   13         2.4
