      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2020 JAN  4   19 22 20.3 38.3853 21.8289    7         1.1
 2020 JAN  4   20 02 19.4 37.4350 20.4483    6         2.4
 2020 JAN  4   20 09 51.3 38.3954 22.2675   14         1.2
 2020 JAN  4   20 16 49.2 39.4437 19.7324   26         2.2
 2020 JAN  4   21 20 04.0 37.2482 20.7083   31         2.2
 2020 JAN  4   22 07 17.6 35.1984 23.8202   30         1.7
 2020 JAN  4   22 11 29.0 37.9056 26.3809   14         4.0
 2020 JAN  4   22 33 21.1 37.7550 22.2478   17         1.7
 2020 JAN  4   23 14 58.3 37.4963 20.3870   12         2.1
 2020 JAN  4   23 26 53.0 37.3416 20.7193   12         2.6
 2020 JAN  4   23 54 21.9 37.7211 22.1095   17         2.2
 2020 JAN  5   00 03 39.0 38.2713 22.3210   11         1.9
 2020 JAN  5   00 46 34.4 34.9457 25.9296    8         1.9
 2020 JAN  5   01 00 16.1 34.9228 25.7602   10         1.4
 2020 JAN  5   02 27 44.0 37.4313 20.4227   24         2.2
 2020 JAN  5   02 42 52.9 38.3482 23.9397   17         1.1
 2020 JAN  5   03 20 32.4 38.3812 22.0308   14         1.2
 2020 JAN  5   08 03 44.4 37.5504 20.6223    6         2.2
 2020 JAN  5   08 35 29.7 39.5100 21.7699   19         2.1
 2020 JAN  5   08 50 02.8 39.3663 23.5506   10         2.1
 2020 JAN  5   09 39 39.5 37.6163 20.6277    5         2.2
 2020 JAN  5   10 22 59.0 41.6401 20.1011   10         3.0
 2020 JAN  5   10 33 18.2 37.4057 20.8328    7         1.8
 2020 JAN  5   11 19 27.8 37.4698 20.6314    8         2.3
 2020 JAN  5   11 20 35.3 37.4844 20.7028   12         2.1
 2020 JAN  5   12 17 21.1 38.3766 22.0070    8         2.6
 2020 JAN  5   12 43 47.4 38.4581 20.5577   18         2.1
 2020 JAN  5   14 11 28.4 40.1779 20.3989    8         2.1
 2020 JAN  5   14 12 22.5 40.1578 20.3769   12         2.8
 2020 JAN  5   14 22 39.1 38.7479 25.9085   19         1.8
 2020 JAN  5   14 26 12.0 40.1340 20.4099   15         2.8
 2020 JAN  5   14 52 02.3 37.7421 20.7768    8         1.6
 2020 JAN  5   15 10 13.0 40.1376 20.4044   11         2.5
 2020 JAN  5   15 53 27.2 40.1056 20.2753    8         2.6
 2020 JAN  5   16 29 15.4 38.4920 20.4808   18         2.1
 2020 JAN  5   16 56 26.1 38.3180 22.1077    9         1.5
 2020 JAN  5   17 13 50.0 40.1578 20.3513   15         2.3
 2020 JAN  5   17 36 57.2 40.1450 20.4337    8         2.2
 2020 JAN  5   17 44 26.8 37.4515 21.6660   12         1.6
 2020 JAN  5   20 15 25.3 38.6270 21.5506   14         2.0
 2020 JAN  5   21 11 09.5 37.4185 20.7797   16         3.1
 2020 JAN  5   22 13 38.0 40.1804 20.4120   10         2.1
 2020 JAN  6   00 14 25.6 38.5358 27.4483   25         3.3
 2020 JAN  6   03 58 18.0 40.1349 20.4327    8         2.1
 2020 JAN  6   04 06 57.2 40.1743 20.3458   14         2.6
 2020 JAN  6   04 55 59.7 37.8593 22.2697   11         2.2
 2020 JAN  6   06 00 11.6 36.8211 21.7845   16         2.1
 2020 JAN  6   11 21 46.5 38.3217 23.8051   11         2.7
 2020 JAN  6   15 37 33.2 37.2043 20.5032    9         2.5
 2020 JAN  6   16 16 47.8 38.8678 21.9342   61         2.0
 2020 JAN  6   16 56 13.5 38.8458 20.5536   12         2.3
 2020 JAN  6   17 57 07.9 36.0342 22.4680    9         3.3
