 DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2019 JAN  4   12 00 11.6 37.4702 20.8102   27         2.4
 2019 JAN  4   14 05 26.4 37.6830 20.5570    7         2.0
 2019 JAN  4   14 28 09.1 37.3618 20.5472    6         2.3
 2019 JAN  4   17 49 28.2 38.2010 23.3787    7         1.6
 2019 JAN  4   18 30 17.7 37.4107 20.7743   12         2.0
 2019 JAN  4   18 49 03.8 37.6810 20.6955   17         2.5
 2019 JAN  4   20 58 15.5 37.5053 20.6628   10         2.8
 2019 JAN  4   21 08 06.8 37.5070 20.6595    9         2.5
 2019 JAN  5   00 43 12.5 37.4515 20.5972   16         2.6
 2019 JAN  5   01 30 26.3 37.4602 20.5272    8         2.2
 2019 JAN  5   02 14 44.1 37.4868 20.5323   11         2.7
 2019 JAN  5   03 02 17.0 37.7057 20.5692   12         2.6
 2019 JAN  5   03 19 42.4 37.6293 20.4792   12         2.6
 2019 JAN  5   03 34 10.8 37.6737 20.6398   11         2.2
 2019 JAN  5   05 18 00.0 37.4902 20.6340   18         2.3
 2019 JAN  5   06 08 45.9 37.7065 20.4008   15         2.6
 2019 JAN  5   06 15 52.4 37.6797 20.3727   13         2.8
 2019 JAN  5   07 25 47.6 37.4545 20.3557   10         2.3
 2019 JAN  5   10 19 53.2 37.4258 20.4922   14         2.8
 2019 JAN  5   11 12 07.7 37.1833 20.5870   13         3.1
 2019 JAN  5   11 20 41.1 37.3932 20.5995   16         2.8
 2019 JAN  5   11 26 25.2 37.4942 20.5440   11         2.5
 2019 JAN  5   12 12 08.3 37.6148 21.6148    9         1.9
 2019 JAN  5   12 18 01.6 37.6722 20.4415   16         2.1
 2019 JAN  5   12 58 11.2 37.2847 20.6280   12         2.4
 2019 JAN  5   13 24 23.0 37.4222 20.5069    6         2.5
 2019 JAN  5   14 24 19.4 37.6113 20.8333   15         2.3
 2019 JAN  5   14 56 26.6 37.6375 20.5177   11         2.8
 2019 JAN  5   15 07 01.6 37.6582 20.5170   10         2.6
 2019 JAN  5   16 54 07.0 36.0715 26.9660   32         2.6
 2019 JAN  5   17 00 01.4 34.6850 23.2285   16         3.0
 2019 JAN  5   17 43 36.6 36.0435 27.0477   14         2.2
 2019 JAN  5   18 43 42.1 37.7902 21.0793   14         1.9
 2019 JAN  5   18 58 56.0 37.3850 20.6338   12         2.6
 2019 JAN  5   21 02 51.7 37.4662 20.5305   11         2.5
 2019 JAN  5   21 03 34.8 37.5978 20.6730   18         2.4
 2019 JAN  5   21 17 26.5 37.2825 20.5735   13         2.4
 2019 JAN  5   22 10 01.6 36.0642 27.0778   15         2.4
 2019 JAN  5   22 22 58.7 34.7723 24.1325   24         3.0
 2019 JAN  5   22 49 30.7 37.4567 20.3997    8         2.7
 2019 JAN  5   22 59 20.2 37.4633 22.5523   64         2.3
 2019 JAN  5   23 57 15.9 37.4524 20.5188    7         2.4
 2019 JAN  6   00 05 47.2 37.4268 20.4053    9         2.5
 2019 JAN  6   00 47 10.1 37.4790 20.5372   12         2.0
 2019 JAN  6   00 59 49.6 37.6750 20.5277    8         2.5
 2019 JAN  6   01 07 22.1 39.4667 21.7688   15         1.6
 2019 JAN  6   01 15 37.0 37.6682 20.8610   23         2.2
 2019 JAN  6   01 59 32.0 36.5802 21.4380   23         2.2
 2019 JAN  6   02 17 50.2 37.5375 20.6607   11         2.4
 2019 JAN  6   02 54 58.1 38.4312 21.9280    8         1.2
 2019 JAN  6   03 11 39.2 37.3567 20.6483   12         2.3
 2019 JAN  6   03 52 26.1 37.6318 20.4932   16         2.8
 2019 JAN  6   03 53 38.1 40.4270 20.5235   26         1.9
 2019 JAN  6   04 30 05.0 40.4793 20.4275   11         1.8
 2019 JAN  6   04 56 31.0 38.4118 20.5520   10         1.7
 2019 JAN  6   05 46 40.6 37.4942 20.4307   10         2.0
 2019 JAN  6   06 02 07.0 37.4813 20.4927   10         2.3
 2019 JAN  6   07 30 38.0 37.6387 20.6655   10         2.5
 2019 JAN  6   07 39 10.8 37.5182 20.6053    9         3.1
 2019 JAN  6   09 25 02.5 40.7695 25.7315   10         2.0
 2019 JAN  6   10 05 26.8 37.2928 20.3927    9         2.2
