   DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)           
 2018 JAN  5   03 26 40.7 41.2045 22.8142    7         1.4
 2018 JAN  5   04 09 41.9 40.3336 23.7296    7         1.7
 2018 JAN  5   08 49 44.7 40.9744 20.7248    2         2.2
 2018 JAN  5   09 21 35.3 40.4085 21.8568   15         1.8
 2018 JAN  5   09 34 52.5 36.9058 27.2128   13         2.9
 2018 JAN  5   09 50 55.8 41.1923 22.8708   10         2.6
 2018 JAN  5   10 29 00.3 38.8212 22.9972    8         2.4
 2018 JAN  5   11 13 38.9 38.2310 22.9315   13         1.4
 2018 JAN  5   12 37 27.7 40.3408 24.0692   10         2.9
 2018 JAN  5   12 58 02.8 36.3072 27.4315   83         3.5
 2018 JAN  5   14 01 59.0 37.8005 21.0403   15         1.8
 2018 JAN  5   17 22 54.3 38.8335 26.0423   11         2.4
 2018 JAN  5   17 39 38.1 38.2622 20.3618   12         1.6
 2018 JAN  5   18 16 16.1 40.3492 24.0562    8         2.1
 2018 JAN  5   18 30 52.1 38.9082 21.1417   18         2.4
 2018 JAN  5   18 39 07.3 38.8260 26.0573   11         2.4
 2018 JAN  5   18 39 59.9 38.8493 23.0002   10         2.0
 2018 JAN  5   19 03 40.0 40.0693 22.4035   10         1.5
 2018 JAN  5   19 03 54.8 37.8508 23.0152   14         1.4
 2018 JAN  5   20 28 23.5 38.9723 26.1902   12         2.0
 2018 JAN  5   20 57 12.1 39.3008 22.7994   30         1.0
 2018 JAN  5   20 59 08.1 40.5148 23.4915   14         1.0
 2018 JAN  5   21 47 16.7 38.7077 20.5820    7         1.8
 2018 JAN  5   21 49 18.9 38.2201 20.4277   15         2.1
 2018 JAN  5   21 49 29.5 39.1287 24.2313    8         1.2
 2018 JAN  5   21 52 07.1 39.1615 27.6732   13         2.4
 2018 JAN  5   21 55 54.7 37.8800 22.6258   16         1.3
 2018 JAN  5   22 25 32.0 38.3417 22.5085   12         1.8
 2018 JAN  5   23 07 16.8 34.9097 23.2448   46         3.0
 2018 JAN  5   23 49 12.1 35.3558 23.3917    8         2.3
 2018 JAN  5   23 51 31.3 40.3435 24.0650    9         1.5
 2018 JAN  5   23 51 35.2 34.8015 24.8733   22         1.3
 2018 JAN  6   00 11 31.3 40.3287 24.0390    8         1.6
 2018 JAN  6   00 14 03.1 40.3393 24.0590    9         1.9
 2018 JAN  6   00 27 23.1 41.1807 22.8477   11         1.5
 2018 JAN  6   00 29 51.3 38.2000 20.7225   12         1.5
 2018 JAN  6   00 41 48.8 38.4010 21.9122    8         2.6
 2018 JAN  6   03 52 06.3 34.6863 23.5673   14         2.3
 2018 JAN  6   05 03 28.9 38.6257 23.3870   10         2.8
 2018 JAN  6   05 07 48.4 41.1998 22.8603   12         1.3
 2018 JAN  6   05 28 02.2 35.3010 27.5773    9         2.6
 2018 JAN  6   05 46 24.1 39.7362 22.2267   11         2.4
 2018 JAN  6   07 02 22.8 39.2892 24.0097    7         2.4
 2018 JAN  6   07 50 48.6 38.6581 23.6343   18         1.2
 2018 JAN  6   07 52 39.8 40.3483 24.0372    6         1.9
 2018 JAN  6   08 00 43.8 39.4472 21.7477   17         1.5
 2018 JAN  6   08 48 09.9 37.6530 22.8035   74         1.8
 2018 JAN  6   10 07 15.6 37.7972 21.2523   23         1.8
 2018 JAN  6   10 43 43.0 36.9985 27.6823   18         2.6
 2018 JAN  6   11 08 30.1 40.3497 24.0632    7         1.5
 2018 JAN  6   12 31 58.6 34.8660 23.1405   10         2.4
 2018 JAN  6   14 02 57.1 38.9778 26.0872   12         2.3
 2018 JAN  6   15 58 24.9 39.1097 24.2245   10         1.5
 2018 JAN  6   17 22 07.9 38.3668 22.0705    9         1.1
 2018 JAN  6   17 22 54.5 40.3382 24.0620    8         1.4
 2018 JAN  6   18 06 33.7 38.2772 23.3563   10         1.5
 2018 JAN  6   19 02 10.2 36.1377 21.5800   15         2.3
 2018 JAN  6   19 07 07.9 36.1139 21.5204   10         3.4
 2018 JAN  6   19 25 57.4 38.2248 23.4785   11         1.3
 2018 JAN  6   19 32 39.2 36.9702 27.3743   12         2.1
 2018 JAN  6   19 48 11.3 37.7261 20.8548   20         2.3
 2018 JAN  6   19 51 19.1 34.3828 23.6358   16         2.4
 2018 JAN  6   20 02 06.6 40.5732 25.6432    7         1.6
 2018 JAN  6   20 28 13.5 39.4443 22.9390   15         1.4
 2018 JAN  6   20 47 14.8 40.6167 21.6680   10         1.4
